Time,Displacement,Force
(s),(mm),(mN)
"7.2970","0.7201","57.4920"
"7.3070","0.7210","57.5887"
"7.3170","0.7219","57.4634"
"7.3270","0.7229","57.3459"
"7.3370","0.7239","57.4275"
"7.3470","0.7249","57.6884"
"7.3570","0.7259","57.8422"
"7.3670","0.7269","58.2186"
"7.3770","0.7279","58.8154"
"7.3870","0.7289","59.2568"
"7.3970","0.7299","59.1258"
"7.4070","0.7310","58.7922"
"7.4170","0.7320","58.2713"
"7.4270","0.7330","57.6075"
"7.4370","0.7341","57.4709"
"7.4470","0.7351","58.0350"
"7.4570","0.7361","58.8382"
"7.4670","0.7371","59.3298"
"7.4770","0.7381","59.5573"
"7.4870","0.7391","59.9003"
"7.4970","0.7402","60.1206"
"7.5070","0.7412","59.6366"
"7.5170","0.7422","59.0162"
"7.5270","0.7432","58.9452"
"7.5370","0.7442","59.2811"
"7.5470","0.7452","59.2910"
"7.5570","0.7461","59.1198"
"7.5670","0.7471","59.3451"
"7.5770","0.7481","60.1113"
"7.5870","0.7491","60.5256"
"7.5970","0.7501","60.1822"
"7.6070","0.7510","59.9225"
"7.6170","0.7520","60.2918"
"7.6270","0.7530","60.8127"
"7.6370","0.7539","60.3064"
"7.6470","0.7549","59.4453"
"7.6570","0.7559","59.1588"
"7.6670","0.7568","59.9216"
"7.6770","0.7578","60.7236"
"7.6870","0.7588","61.0855"
"7.6970","0.7599","61.1865"
"7.7070","0.7610","61.3472"
"7.7170","0.7621","61.5250"
"7.7270","0.7633","61.4375"
"7.7370","0.7644","61.0024"
"7.7470","0.7656","60.7111"
"7.7570","0.7667","60.9820"
"7.7670","0.7678","61.2333"
"7.7770","0.7688","61.2267"
"7.7870","0.7699","61.0716"
"7.7970","0.7709","61.3121"
"7.8070","0.7718","61.8549"
"7.8170","0.7727","62.4703"
"7.8270","0.7735","62.5951"
"7.8370","0.7744","62.2833"
"7.8470","0.7752","61.5717"
"7.8570","0.7761","60.9847"
"7.8670","0.7769","60.9953"
"7.8770","0.7778","61.4454"
"7.8870","0.7787","62.0030"
"7.8970","0.7796","62.7816"
"7.9070","0.7806","63.4611"
"7.9170","0.7816","63.2790"
"7.9270","0.7825","62.5492"
"7.9370","0.7835","61.9699"
"7.9470","0.7844","62.2598"
"7.9570","0.7854","62.7315"
"7.9670","0.7864","62.7793"
"7.9770","0.7874","62.4219"
"7.9870","0.7884","62.2931"
"7.9970","0.7894","62.7598"
"8.0070","0.7905","63.3956"
"8.0170","0.7917","63.6630"
"8.0270","0.7928","63.8305"
"8.0370","0.7940","64.0985"
"8.0470","0.7953","63.9744"
"8.0570","0.7965","63.3596"
"8.0670","0.7976","62.8988"
"8.0770","0.7987","63.0638"
"8.0870","0.7998","63.2257"
"8.0970","0.8008","63.1388"
"8.1070","0.8018","62.9285"
"8.1170","0.8028","63.0887"
